ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover â¹  ","No. of Trades  "
"MRF","EQ","01-Jun-2023","97,211.70","97,100.00","97,988.95","97,099.00","97,600.00","97,567.30","97,609.56","3,795","37,04,28,295.90","2,734"
"MRF","EQ","02-Jun-2023","97,567.30","97,567.30","98,100.00","96,067.55","96,304.95","96,368.50","96,834.38","7,514","72,76,13,547.25","5,382"
"MRF","EQ","05-Jun-2023","96,368.50","96,880.00","97,187.95","96,502.15","96,850.00","96,797.45","96,816.76","3,003","29,07,40,727.65","2,177"
"MRF","EQ","06-Jun-2023","96,797.45","96,888.00","97,249.50","96,227.65","96,700.00","96,636.25","96,593.54","4,249","41,04,25,941.10","2,821"
"MRF","EQ","07-Jun-2023","96,636.25","97,000.00","99,230.50","96,775.15","97,550.00","97,553.10","98,006.46","10,781","1,05,66,07,645.90","6,669"
"MRF","EQ","08-Jun-2023","97,553.10","97,610.00","98,599.00","96,900.00","97,150.00","97,077.35","97,757.91","9,411","91,99,99,734.25","6,245"
"MRF","EQ","09-Jun-2023","97,077.35","97,264.00","98,597.90","97,150.00","98,262.05","98,390.95","98,036.58","8,604","84,35,06,717.10","5,740"
"MRF","EQ","12-Jun-2023","98,390.95","98,335.10","99,400.00","98,152.75","98,802.10","98,968.55","98,760.61","7,627","75,32,47,176.30","5,125"
"MRF","EQ","13-Jun-2023","98,968.55","99,150.20","1,00,439.95","99,150.20","99,900.00","99,992.85","99,882.58","16,655","1,66,35,44,302.55","10,092"
"MRF","EQ","14-Jun-2023","99,992.85","99,993.00","1,00,400.00","99,400.00","99,800.00","1,00,114.15","99,990.37","9,786","97,85,05,714.95","5,405"
"MRF","EQ","15-Jun-2023","1,00,114.15","1,00,099.00","1,00,849.60","99,711.00","1,00,075.00","1,00,081.00","1,00,184.29","8,297","83,12,29,080.40","5,166"
"MRF","EQ","16-Jun-2023","1,00,081.00","1,00,083.00","1,00,694.95","99,549.50","99,780.00","99,892.50","1,00,128.75","9,713","97,25,50,525.25","4,821"
"MRF","EQ","19-Jun-2023","99,892.50","1,00,000.00","1,00,651.00","99,557.05","1,00,030.65","99,758.20","1,00,019.14","4,964","49,64,94,986.95","3,072"
"MRF","EQ","20-Jun-2023","99,758.20","1,00,200.00","1,00,200.00","98,280.10","99,472.85","99,348.20","99,223.08","8,914","88,44,74,566.75","5,593"
"MRF","EQ","21-Jun-2023","99,348.20","99,648.00","1,00,950.00","99,484.35","1,00,450.00","1,00,422.20","1,00,321.16","10,714","1,07,48,40,877.70","6,368"
"MRF","EQ","22-Jun-2023","1,00,422.20","1,00,400.00","1,00,900.00","99,500.00","99,840.00","99,868.45","1,00,148.45","5,564","55,72,25,970.15","3,688"
"MRF","EQ","23-Jun-2023","99,868.45","99,977.00","99,977.00","98,880.05","99,301.00","99,492.05","99,461.15","4,670","46,44,83,571.20","3,398"
"MRF","EQ","26-Jun-2023","99,492.05","99,799.95","1,00,079.90","99,071.80","99,758.50","99,954.65","99,761.24","3,699","36,90,16,815.55","2,625"
"MRF","EQ","27-Jun-2023","99,954.65","99,900.00","1,00,500.95","99,300.00","99,500.00","99,591.25","99,859.56","7,862","78,50,95,843.65","4,376"
"MRF","EQ","28-Jun-2023","99,591.25","99,891.25","1,00,699.85","99,600.00","1,00,601.00","1,00,387.20","1,00,095.71","4,178","41,81,99,877.75","2,622"
"MRF","EQ","30-Jun-2023","1,00,387.20","1,00,598.00","1,01,648.30","1,00,020.25","1,01,002.05","1,01,260.50","1,00,932.28","9,620","97,09,68,510.70","6,007"
"MRF","EQ","03-Jul-2023","1,01,260.50","1,01,073.00","1,01,888.00","99,600.00","1,00,100.00","99,899.45","1,00,436.99","9,229","92,69,33,006.25","4,719"
"MRF","EQ","04-Jul-2023","99,899.45","1,00,480.00","1,00,480.00","99,000.00","99,230.00","99,148.90","99,420.79","5,734","57,00,78,794.55","3,364"
"MRF","EQ","05-Jul-2023","99,148.90","99,600.00","1,00,300.00","99,099.00","1,00,000.00","1,00,191.20","99,860.75","5,430","54,22,43,896.75","3,921"
"MRF","EQ","06-Jul-2023","1,00,191.20","1,00,215.00","1,01,888.00","1,00,043.50","1,01,074.00","1,01,306.50","1,01,124.70","8,593","86,89,64,528.85","5,609"
"MRF","EQ","07-Jul-2023","1,01,306.50","1,01,180.00","1,01,974.95","1,00,680.00","1,00,920.05","1,01,227.65","1,01,242.09","6,354","64,32,92,249.55","3,945"
"MRF","EQ","10-Jul-2023","1,01,227.65","1,01,177.00","1,01,842.30","1,00,400.25","1,00,775.00","1,00,602.85","1,01,019.05","5,534","55,90,39,420.30","3,438"
"MRF","EQ","11-Jul-2023","1,00,602.85","1,00,949.90","1,02,214.90","1,00,811.05","1,01,572.25","1,01,930.20","1,01,675.51","7,421","75,45,33,951.70","4,463"
"MRF","EQ","12-Jul-2023","1,01,930.20","1,01,899.00","1,02,494.95","1,01,652.70","1,01,950.00","1,02,231.40","1,02,056.53","6,691","68,28,60,259.65","3,657"
"MRF","EQ","13-Jul-2023","1,02,231.40","1,02,102.00","1,02,300.00","1,01,003.30","1,01,309.30","1,01,263.95","1,01,674.08","3,256","33,10,50,808.25","2,180"
"MRF","EQ","14-Jul-2023","1,01,263.95","1,01,450.00","1,02,400.00","1,01,264.25","1,02,300.00","1,02,141.20","1,01,904.81","5,109","52,06,31,682.60","3,053"
"MRF","EQ","17-Jul-2023","1,02,141.20","1,02,141.20","1,02,341.20","1,01,820.50","1,02,330.00","1,01,988.15","1,02,031.84","2,065","21,06,95,753.45","1,560"
"MRF","EQ","18-Jul-2023","1,01,988.15","1,02,000.00","1,02,499.95","1,01,611.05","1,02,265.05","1,02,245.45","1,02,096.80","3,212","32,79,34,922.60","2,052"
"MRF","EQ","19-Jul-2023","1,02,245.45","1,02,256.00","1,02,990.00","1,02,065.30","1,02,500.05","1,02,718.15","1,02,553.12","4,956","50,82,53,260.55","3,294"
"MRF","EQ","20-Jul-2023","1,02,718.15","1,02,500.00","1,02,733.95","1,01,600.00","1,01,980.00","1,01,896.20","1,01,994.16","3,770","38,45,17,997.75","2,217"
"MRF","EQ","21-Jul-2023","1,01,896.20","1,01,999.30","1,02,300.30","1,01,550.00","1,01,851.00","1,02,089.25","1,01,898.97","2,112","21,52,10,619.80","1,535"
"MRF","EQ","24-Jul-2023","1,02,089.25","1,02,100.00","1,03,186.70","1,01,750.00","1,02,400.05","1,02,723.50","1,02,538.73","4,020","41,22,05,682.00","2,492"
"MRF","EQ","25-Jul-2023","1,02,723.50","1,02,202.10","1,02,699.00","1,02,000.00","1,02,508.15","1,02,525.80","1,02,367.91","2,053","21,01,61,309.60","1,367"
"MRF","EQ","26-Jul-2023","1,02,525.80","1,03,000.00","1,03,263.50","1,02,000.00","1,02,000.00","1,02,205.15","1,02,592.47","4,152","42,59,63,950.10","2,572"
"MRF","EQ","27-Jul-2023","1,02,205.15","1,02,625.00","1,02,899.00","1,01,870.35","1,02,250.25","1,02,403.15","1,02,273.44","2,542","25,99,79,080.95","1,658"
"MRF","EQ","28-Jul-2023","1,02,403.15","1,02,050.20","1,02,792.15","1,01,880.70","1,02,500.00","1,02,534.15","1,02,284.76","2,608","26,67,58,663.35","1,845"
"MRF","EQ","31-Jul-2023","1,02,534.15","1,02,270.00","1,03,298.85","1,02,100.00","1,02,600.00","1,02,956.25","1,02,688.77","3,198","32,83,98,701.05","1,959"
"MRF","EQ","01-Aug-2023","1,02,956.25","1,02,507.15","1,03,570.95","1,02,507.15","1,03,300.00","1,03,285.75","1,03,150.21","3,426","35,33,92,627.30","2,231"
